S_AGE,S_SPECEFF,S_GENEFF,S_USECOM,S_USEINF,S_ACCONT,S_SPECLASS,S_GENCLASS,S_CODLRN,S_ICTFUT,S_ICTLRN,S_ICTNEG,S_ICTPOS,S_GENACT,S_USESTD,S_NISB,PV1CIL,PV1CT,P_RATTCH,P_EXPLRN,P_PRIORH,P_PRIORS,P_VWICT,P_ICTUSE,P_ICTCOM,P_EXPTCH
14.5,54.07726546,48.20036361,64.3729837,62.13169883,53.21388366,60.96986774,61.51837985,52.01847558,50.07890187,62.16874798,44.41548902,51.76375283,59.4836813,95.85238309,-0.509186926,434.605021,412.4062057,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
15.08,47.08065579,61.11577725,44.12533373,41.20248721,44.06771308,54.4583352,58.25884815,57.4927827,53.70151355,50.59805705,54.290819,41.81888358,56.41745629,57.04376546,0.879478864,566.358348,570.9124617,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
15.67,50.55912576,35.98114856,42.80330884,60.23561695,44.06771308,54.4583352,49.69333454,53.27911085,53.70151355,47.86460127,58.89746142,46.52092152,59.4836813,55.01932941,-1.720444316,448.2762049,473.3605947,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
14.33,30.53123372,45.23063421,53.53541493,41.20248721,45.50776158,48.70944301,64.88811532,49.67287079,29.57792301,52.09742551,44.41548902,46.52092152,48.22590209,54.12481416,1.000687015,542.6256205,548.8627379,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
15.17,43.32376193,48.20036361,52.13492659,53.21636775,48.37658135,54.4583352,61.51837985,49.67287079,50.07890187,57.34755411,44.41548902,46.52092152,56.41745629,60.22028628,-1.393133547,481.8769248,472.7803778,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
14.83,43.32376193,44.479257,48.15385532,58.23188941,53.21388366,44.62915008,58.25884815,39.92195203,46.64877174,47.86460127,51.097199,46.52092152,59.4836813,57.79877532,0.782233172,464.2659814,426.0924465,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
15.08,47.08065579,52.4743328,45.47289037,41.20248721,46.93383803,48.70944301,44.14619031,57.4927827,46.64877174,62.16874798,54.74959483,46.52092152,53.68075132,47.61348587,-0.782069232,616.3728319,586.0472014,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
14.92,38.67211471,52.4743328,40.32551631,41.20248721,53.21388366,48.70944301,54.59460873,52.01847558,36.17209738,57.34755411,44.41548902,46.52092152,56.41745629,57.79877532,-0.455498456,553.0863876,533.5748483,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
15.17,54.07726546,37.5302084,39.16985097,41.20248721,36.50171267,48.70944301,49.69333454,43.33320731,43.36987589,44.23240849,38.0441101,33.45409187,48.22590209,45.47906679,0.18278009,527.9319939,409.4027619,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
14.33,54.07726546,48.20036361,49.47226333,53.21981811,49.87372235,48.70944301,44.14619031,62.82464376,53.70151355,55.4379011,51.097199,51.76375283,56.41745629,54.12481416,-0.63113507,541.9987297,501.6312229,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
15.08,50.55912576,48.20036361,46.82137306,41.20248721,45.50776158,54.4583352,64.88811532,47.50168342,61.86307388,52.09742551,44.41548902,51.76375283,53.68075132,55.57539586,-1.447562009,495.3711696,513.6595805,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
14.33,38.67211471,52.4743328,49.47226333,41.20248721,51.4681624,51.81303016,61.51837985,50.81912215,50.07890187,49.19078969,47.68485138,68.19256997,41.26061477,47.61348587,1.000687015,546.999737,519.0696412,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
14.42,62.73012285,32.90126998,44.12533373,41.20248721,42.57844828,54.4583352,54.59460873,47.50168342,36.17209738,61.19726155,47.68485138,51.76375283,56.41745629,56.30480216,-0.809283463,504.957373,418.2139138,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
14.5,38.67211471,61.11577725,52.13492659,41.20248721,48.37658135,48.70944301,54.59460873,47.50168342,29.57792301,62.16874798,54.74959483,33.37892492,53.68075132,54.85058026,-0.373115769,505.5697391,478.6553701,0.08,61.07850584,36.69051025,41.39640841,56.41057158,49.67539174,55.08073173,62.57949753
15,43.32376193,48.20036361,48.15385532,41.20248721,48.37658135,54.4583352,58.25884815,48.57070317,46.64877174,62.16874798,51.097199,46.52092152,67.76261599,49.45694334,1.245615097,550.0837847,522.2424817,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.92,57.94046082,61.11577725,45.47289037,41.20248721,46.76593225,58.98449332,61.51837985,56.00697617,57.52678195,72.89762977,51.097199,46.52092152,56.41745629,59.37886219,1.000687015,691.7335035,656.8460473,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.92,54.07726546,61.11577725,46.82137306,41.20248721,45.50776158,51.81303016,61.51837985,47.50168342,40.05263926,49.19078969,58.89746142,51.76375283,59.4836813,51.11279158,0.565259314,485.1950122,456.6492655,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
15.08,43.32376193,45.23063421,45.47289037,41.20248721,49.87372235,56.82619088,61.51837985,57.4927827,36.17209738,55.4379011,47.68485138,46.52092152,59.4836813,61.1091313,1.027901247,638.8586001,544.9979207,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
15,54.07726546,52.4743328,45.47289037,41.20248721,37.36121349,48.70944301,61.51837985,53.27911085,50.07890187,52.09742551,51.097199,46.52092152,59.4836813,54.85058026,1.30004356,608.1787596,561.3678519,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
15.17,57.94046082,61.11577725,49.47226333,41.20248721,51.4681624,51.81303016,68.95982877,52.01847558,43.36987589,72.89762977,51.097199,56.13774352,67.76261599,65.45471922,1.272829328,629.6434503,633.8052303,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.75,47.08065579,52.4743328,45.47289037,53.21636775,48.68761248,44.62915008,58.25884815,50.81912215,53.70151355,52.10434223,58.89746142,41.81888358,56.41745629,51.89313027,0.471265394,577.9750916,493.4418347,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
14.67,54.07726546,52.4743328,44.12533373,41.20248721,41.00301218,56.82619088,61.51837985,52.01847558,46.64877174,55.4379011,54.74959483,41.81888358,63.18486548,57.04376546,0.58012232,595.7552999,570.6074989,0.06,46.20116281,44.31352541,44.60610403,50.36749518,41.19038212,50.8148655,56.28590461
