S_AGE,S_SPECEFF,S_GENEFF,S_USECOM,S_USEINF,S_ACCONT,S_SPECLASS,S_GENCLASS,S_CODLRN,S_ICTFUT,S_ICTLRN,S_ICTNEG,S_ICTPOS,S_GENACT,S_USESTD,S_NISB,PV1CIL,PV1CT,P_RATTCH,P_EXPLRN,P_PRIORH,P_PRIORS,P_VWICT,P_ICTUSE,P_ICTCOM,P_EXPTCH
14.58,57.94046082,61.11577725,56.70543773,55.97645334,46.93383803,67.71487727,54.59460873,46.45540049,68.79547657,50.59805705,74.113199,68.19256997,53.68075132,46.59029713,-0.941720411,610.1726049,530.9530376,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
13.92,38.67211471,48.20036361,50.79133219,49.32383725,48.37658135,37.1212289,31.48280536,23.93156842,68.79547657,21.29812402,58.89746142,60.72827271,56.41745629,46.59029713,0.568390489,536.0297263,516.038405,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14,38.67211471,39.15370877,45.47289037,49.32383725,48.37658135,58.98449332,49.69333454,23.93156842,46.64877174,44.23240849,58.89746142,68.19256997,45.07587436,51.89313027,0.402855632,486.4943521,458.0329334,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.17,47.08065579,45.23063421,41.53401503,41.20248721,45.50776158,39.2877658,44.14619031,23.93156842,50.07890187,50.59805705,47.68485138,56.13774352,45.07587436,26.49904866,-0.817305285,510.7810844,619.4315082,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
13.58,30.53123372,48.20036361,41.53401503,41.20248721,45.50776158,37.1212289,31.48280536,33.25310216,43.36987589,62.16874798,51.097199,46.52092152,27.11514269,31.54888008,-0.259283799,698.7425832,587.0784969,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.58,38.67211471,44.479257,69.73709078,41.20248721,69.68036751,44.62915008,38.95521806,23.93156842,43.36987589,57.34755411,51.097199,60.72827271,27.11514269,31.54888008,0.506446476,489.2825358,450.2573725,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.42,38.67211471,45.23063421,36.93918044,41.20248721,18.02590371,37.1212289,31.48280536,23.93156842,43.36987589,50.59805705,16.26261215,68.19256997,27.11514269,15.73683874,-0.022737968,591.0807375,654.99823,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.33,38.67211471,45.23063421,46.82137306,41.20248721,57.51157271,37.1212289,49.69333454,45.42017416,40.05263926,43.08550714,51.097199,56.13774352,51.02027494,42.89658425,-1.247695915,566.0291571,563.8971871,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.17,50.55912576,40.91171973,42.80330884,41.20248721,51.82939217,37.1212289,31.48280536,23.93156842,29.57792301,31.33443016,54.74959483,68.19256997,27.11514269,39.58715211,0.005571973,527.6943708,554.2668328,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.58,47.08065579,52.4743328,53.53541493,55.97645334,51.4681624,37.1212289,31.48280536,23.93156842,43.36987589,21.29812402,51.097199,46.52092152,51.02027494,54.12481416,-0.534024612,478.19209,479.1095683,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.08,71.01489611,61.11577725,40.32551631,41.20248721,51.4681624,37.1212289,31.48280536,53.27911085,53.70151355,59.52444754,44.41548902,46.52092152,48.22590209,43.95667793,1.197422949,582.3215511,606.9007255,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.08,30.53123372,40.81384777,44.12533373,41.20248721,53.21388366,38.14265544,31.48280536,37.14186185,40.05263926,36.95599363,41.23045085,51.76375283,40.69289773,37.4953816,-0.684877399,547.7691574,718.2326938,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.58,50.55912576,61.11577725,36.93918044,41.20248721,45.50776158,48.70944301,54.59460873,48.57070317,46.64877174,52.09742551,44.41548902,46.52092152,36.16874269,39.58715211,0.998781119,571.0690823,614.0122277,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.42,47.08065579,48.20036361,56.70543773,49.32383725,57.51157271,58.98449332,49.69333454,53.27911085,50.07890187,53.7030201,38.0441101,60.72827271,41.26061477,52.6520114,0.80013929,532.9717695,578.3060093,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.5,30.53123372,13.00348403,30.17016361,41.20248721,46.93383803,37.1212289,31.48280536,45.42017416,29.57792301,44.23240849,44.41548902,60.72827271,27.11514269,39.58715211,-0.817305285,374.6199409,478.3419613,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.33,47.08065579,61.11577725,52.13492659,41.20248721,55.18892836,37.1212289,31.48280536,52.01847558,50.07890187,49.19078969,41.23045085,46.52092152,41.26061477,41.35868169,0.667711404,662.7490946,684.838495,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.17,38.67211471,32.90126998,48.15385532,41.20248721,39.28980177,37.1212289,38.95521806,35.41734957,29.57792301,45.40071298,64.25487518,68.19256997,41.26061477,37.4953816,-0.312687952,514.7649893,541.4595162,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.42,43.32376193,61.11577725,50.79133219,41.20248721,55.18892836,37.1212289,31.48280536,49.67287079,50.07890187,43.08550714,38.0441101,46.52092152,48.22590209,46.59029713,-2.360523157,629.0673745,625.6276138,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.08,47.08065579,61.11577725,33.35685435,41.20248721,37.36121349,48.70944301,49.69333454,54.60625442,46.64877174,55.4379011,54.74959483,46.52092152,41.26061477,41.35868169,0.237320774,627.0128515,672.3918237,0.08,46.20116281,36.69051025,39.84566252,50.36749518,31.34082747,32.02081369,44.75035152
14.42,50.55912576,35.98114856,58.64797288,58.23188941,55.18892836,58.98449332,49.69333454,53.27911085,57.52678195,50.3386259,74.113199,68.19256997,48.22590209,59.37886219,0.638874362,625.7726196,576.0006712,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.33,54.07726546,61.11577725,56.70543773,53.21636775,55.18892836,37.1212289,31.48280536,53.27911085,53.70151355,40.78400363,51.097199,46.52092152,45.07587436,53.39372908,1.197422949,523.9096857,648.8780431,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
13.92,50.55912576,52.4743328,49.47226333,41.20248721,69.68036751,51.81303016,49.69333454,46.78432785,29.57792301,45.40071298,64.25487518,56.13774352,36.16874269,49.45694334,0.009841903,485.5613406,538.0313015,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
14.17,50.55912576,52.4743328,61.06099255,41.20248721,51.4681624,44.62915008,38.95521806,62.82464376,36.17209738,53.7030201,47.68485138,60.72827271,41.26061477,46.59029713,0.866353233,555.2948849,586.4464755,0.07,46.20116281,53.22911095,68.63203468,39.09070581,58.34917614,47.46752444,44.75035152
